outcome,gross,extwarramt,tradeamt,pvdamt,flexdisc,covidamt
0,318000,0,0,0,0,318000
0,315000,0,15000,0,0,300000
0,313362,0,0,0,0,313362
1,313000,0,0,0,0,313000
1,313000,0,0,0,0,313000
1,313000,0,0,0,0,313000
1,313000,0,45000,0,0,268000
1,313000,0,45000,0,0,268000
1,313000,0,45000,0,0,268000
1,313000,0,45000,0,0,227310
1,311300,0,40000,0,15000,215831
1,305000,11602.5,0,0,10000,283397.5
0,305000,0,24000,0,5000,276000
0,300550,0,21000,0,15000,264550
1,300473.9,0,0,0,0,300473.9
1,300473.9,0,0,0,0,300473.9
1,300473.9,0,0,0,0,300473.9
1,300473.9,0,0,14080,0,286393.9
1,300473.9,0,15000,0,15000,285473.9
1,300473.9,0,21000,0,0,279473.9
1,300473.9,0,21000,0,0,279473.9
1,300473.9,0,30000,0,0,270473.9
1,300473.9,0,21000,0,10000,269473.9
1,300473.9,0,31210,0,0,269263.9
1,300473.9,0,28333.3333,11546.3333,5000,260594.2334
1,300473.9,0,28333.3333,11546.3333,5000,260594.2334
1,300473.9,0,33000,9113.5,19000.15,239360.25
1,300473.9,0,33000,9113.5,19000.15,239360.25
1,300473.9,0,33000,9113.5,19000.15,239360.25
1,300000,23205,0,0,0,276795
1,300000,0,25000,0,6882,275000
1,300000,0,25000,0,6882,268118
1,300000,0,34000,0,0,266000
1,299000,0,0,0,0,299000
0,299000,0,0,0,10000,289000
1,299000,0,21000,0,15000,278000
1,299000,0,21000,0,0,239130
1,299000,0,21000,0,0,239130
1,299000,0,21000,0,0,239130
1,299000,23205,45000,0,3240,227555
1,299000,46410,90000,0,0,162590
1,298000,23205,0,0,0,274795
1,298000,23205,0,0,0,274795
1,298000,23205,0,0,0,274795
1,298000,23205,0,0,0,274795
1,298000,23205,0,0,0,274795
1,298000,23205,0,0,0,274795
1,298000,23205,0,0,0,274795
1,298000,23205,0,0,0,274795
1,298000,23205,35000,0,0,239795
1,298000,23205,32000,0,15000,227795
1,298000,23205,48000,0,0,226795
1,298000,23205,48000,0,0,226795
1,297155,0,40000,0,10000,247155
1,297083.9,23205,20000,0,15000,238878.9
1,297000,0,0,0,0,297000
0,297000,0,0,0,0,297000
1,297000,0,0,0,15000,282000
1,297000,0,25500,0,0,271500
0,297000,0,21000,0,15000,261000
1,296449,23205,0,0,0,273244
1,296449,23205,0,0,0,273244
1,296449,23205,0,0,0,273244
1,296127,0,0,0,0,296127
1,296127,11602.5,0,16798,0,267726.5
1,296127,0,24000,0,15000,257127
1,295511,0,23571,13781.5,0,258158.5
1,295511,0,23571,13781.5,0,258158.5
1,295473.9,0,30000,0,15000,250473.9
1,295157,11602.5,25000,0,10000,248554.5
1,295000,0,0,0,0,295000
1,295000,0,0,0,0,295000
0,295000,0,0,0,0,295000
0,295000,0,0,0,0,295000
0,295000,0,0,0,0,295000
1,295000,0,0,0,10000,285000
1,295000,0,0,0,10000,285000
1,295000,0,0,7927,10000,277073
0,295000,0,20000,0,15000,275000
1,295000,0,0,5000,15000,275000
1,295000,0,20000,0,0,275000
1,295000,0,21000,0,0,274000
1,295000,0,32000,0,15000,263000
0,295000,0,40000,0,12000,255000
1,295000,0,30000,7700,15000,242300
1,295000,46410,30000,10000,11000,197590
1,295000,46410,30000,10000,11000,197590
1,295000,46410,30000,10000,11000,197590
1,294259,0,0,0,0,294259
1,294000,23205,0,18000,0,252795
1,294000,0,35000,0,15000,244000
0,294000,0,50000,0,0,244000
0,293500,0,0,0,0,293500
1,293436.9,0,33800,8960.79,15000,250676.11
1,293231,0,0,6000,0,287231
1,293000,0,20000,0,0,273000
1,293000,0,40000,7250,15000,245750
1,293000,0,32750,0,15000,245250
1,293000,0,40000,0,15000,238000
0,293000,0,35000,7500,15000,235500
0,293000,0,40000,30556.6666,0,222443.3334
0,293000,0,40000,30556.6666,0,222443.3334
0,293000,0,40000,30556.6666,0,222443.3334
1,292990,0,0,0,0,292990
1,292953,0,0,0,0,292953
1,292750,0,0,20000,10000,262750
0,292500,0,0,0,0,292500
0,292500,0,38500,0,15000,239000
1,292200,0,40000,10000,15000,227200
1,292172,0,36000,0,15000,241172
0,292157.58,0,35000,0,0,257157.58
